d 一
iang2 丁
iii3 丂
en5 七
uo1 丄
ie1 丅
ueng1 丆
uai1 万
ueng4 丈
van4 三
p 上
iong3 下
ii4 丌
iii5 不
uai5 与
eng4 丏
e1 丐
i5 丑
ve4 丒
ing1 专
iao2 且
ia2 丕
iang3 世
r 丗
ia4 丘
ong5 丙
eng1 业
u1 丛
ing5 东
uo2 丝
ei4 丞
ua5 丟
ei2 丠
ei3 両
van1 丢
u5 丣
ian4 两
n 严
iii4 並
v5 丧
v4 丨
c 丩
uen5 个
k 丫
t 丬
l 中
sh 丮
uang3 丯
iang4 丰
uen4 丱
in5 串
uo4 丳
eng5 临
ei1 丵
x 丶
g 丷
er4 丸
i4 丹
s 为
er3 主
in4 丼
ao4 丽
iong4 举
uang1 丿
uei4 乀
ch 乁
ie2 乂
ou2 乃
ou4 乄
ia1 久
ao2 乆
v1 乇
e3 么
ou3 义
ing4 乊
ang5 之
u4 乌
ian2 乍
iang5 乎
en2 乏
iao3 乐
ua3 乑
z 乒
ua4 乓
uai2 乔
f 乕
ao1 乖
eng3 乗
ve2 乘
uo5 乙
e5 乚
ang4 乛
uang4 乜
ia3 九
iii1 乞
ai5 也
ve1 习
q 乡
j 乢
ao3 乣
van2 乤
o2 乥
iou4 书
an5 乧
uei1 乨
vn2 乩
er2 乪
a2 乫
ie3 乬
uei5 乭
ang2 乮
iong2 乯
an2 买
uen3 乱
u3 乲
v2 乳
uo3 乴
in3 乵
ao5 乶
o3 乷
an1 乸
o1 乹
zh 乺
iong1 乻
uan1 乼
an4 乽
u2 乾
uan5 乿
a3 亀
vn4 亁
ie4 亂
iou1 亃
in2 亄
ai4 亅
rr 了
e2 亇
m 予
v3 争
ei5 亊
ian1 事
iii2 二
o4 亍
ong1 于
uai3 亏
iou5 亐
ii3 云
ii1 互
e4 亓
ang1 五
b 井
a1 亖
en3 亗
ing3 亘
i1 亙
ong3 亚
uen2 些
ai1 亜
i3 亝
ii5 亞
ie5 亟
ing2 亠
ou1 亡
ou5 亢
iou2 亣
uang5 交
ia5 亥
uang2 亦
ian5 产
ii2 亨
van5 亩
en1 亪
iao4 享
a4 京
ai2 亭
uei3 亮
ve3 亯
eng2 亰
in1 亱
vn1 亲
ang3 亳
uan3 亴
en4 亵
o5 亶
uai4 亷
an3 亸
vn3 亹
ua1 人
ong2 亻
iao1 亼
uen1 亽
iang1 亾
van3 亿
uei2 什
ai3 仁
uan4 仂
i2 仃
ong4 仄
ua2 仅
a5 仆
iou3 仇
ian3 仈
uan2 仉
h 今
